央视频道,#genre#
CCTV-12,http://221.232.105.149:35455/gaoma/cctv12.m3u8
CCTV-13,http://221.232.105.149:35455/gaoma/cctv13.m3u8
CCTV-14,http://221.232.105.149:35455/gaoma/cctv14.m3u8
CCTV-15,http://221.232.105.149:35455/gaoma/cctv15.m3u8
CCTV-16,http://221.232.105.149:35455/gaoma/cctv16.m3u8
CCTV-17,http://221.232.105.149:35455/gaoma/cctv17.m3u8


CCTV-1,http://z.b.bkpcp.top/m.php?id=cctv1$IPV4
CCTV-2,http://z.b.bkpcp.top/m.php?id=cctv2$IPV4
CCTV-3,http://z.b.bkpcp.top/m.php?id=cctv3$IPV4
CCTV-4,http://z.b.bkpcp.top/m.php?id=cctv4$IPV4
CCTV-5,http://z.b.bkpcp.top/m.php?id=cctv5$IPV4
CCTV-5+,http://z.b.bkpcp.top/m.php?id=cctv5p$IPV4
CCTV-6,http://z.b.bkpcp.top/m.php?id=cctv6$IPV4
CCTV-7,http://z.b.bkpcp.top/m.php?id=cctv7$IPV4
CCTV-8,http://z.b.bkpcp.top/m.php?id=cctv8$IPV4
CCTV-9,http://z.b.bkpcp.top/m.php?id=cctv9$IPV4
CCTV-10,http://z.b.bkpcp.top/m.php?id=cctv10$IPV4
CCTV-11,http://z.b.bkpcp.top/m.php?id=cctv11$IPV4
CCTV-12,http://z.b.bkpcp.top/m.php?id=cctv12$IPV4
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13$IPV4
CCTV-14,http://z.b.bkpcp.top/m.php?id=cctv14$IPV4
CCTV-15,http://z.b.bkpcp.top/m.php?id=cctv15$IPV4
CCTV-17,http://z.b.bkpcp.top/m.php?id=cctv17$IPV4

CCTV-1,http://221.232.105.149:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV-1,http://221.232.105.149:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV-1,http://221.232.105.149:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV-2,http://221.232.105.149:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2,http://221.232.105.149:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV-2,http://221.232.105.149:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-3,http://221.232.105.149:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV-3,http://221.232.105.149:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV-4,http://221.232.105.149:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV-4,http://221.232.105.149:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV-5,http://221.232.105.149:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV-5,http://221.232.105.149:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+,http://221.232.105.149:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV-5+,http://221.232.105.149:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6,http://221.232.105.149:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV-6,http://221.232.105.149:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV-6,http://221.232.105.149:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV-7,http://221.232.105.149:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV-7,http://221.232.105.149:35455/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV-7,http://221.232.105.149:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV-8,http://221.232.105.149:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV-8,http://221.232.105.149:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV-9,http://221.232.105.149:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV-9,http://221.232.105.149:35455/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV-9,http://221.232.105.149:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV-10,http://221.232.105.149:35455/itv/1000000001000023734.m3u8?cdn=ystenlive
CCTV-10,http://221.232.105.149:35455/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV-10,http://221.232.105.149:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV-11,http://221.232.105.149:35455/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV-11,http://221.232.105.149:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV-12,http://221.232.105.149:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV-12,http://221.232.105.149:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV-12,http://221.232.105.149:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-13,http://221.232.105.149:35455/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV-14,http://221.232.105.149:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV-14,http://221.232.105.149:35455/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV-14,http://221.232.105.149:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV-15,http://221.232.105.149:35455/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV-15,http://221.232.105.149:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV-16,http://221.232.105.149:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16,http://221.232.105.149:35455/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV-17,http://221.232.105.149:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV-17,http://221.232.105.149:35455/itv/1000000005000265015.m3u8?cdn=ystenlive

CCTV-1,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EI0Rkc6neBYgfpoJ1yud8Fw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-2,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226893/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EcnoJZd_sZxCC6bZYZh4R6g%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-4,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226335/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EBFJ5gRpm8ntK8JEFPZOhLQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-5+,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226894/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EevWZ0zmguDsOY_Mf3SM5TA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-7,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226946/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E2bEV_zkW1hRnWmsZq6rlbw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-9,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226944/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EgdZMBjOTdDWVEgovFkZoew%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-10,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226937/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Egbbk6OxyTS2utbJWm7Qw1w%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-11,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E0RcQQbNseiHvFO8XWf466A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-12,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226942/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7E9nVa4WyKpuJgFy6Zh4TplQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-13,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EqHPe9pEEWJ00hz1ArnRZVA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-14,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226947/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EgtTqPYLE5COifF-qvYi2Ig%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-15,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EWyklhmFh7oMx-lG1tNUcSQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-16,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221227002/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EX9goLRw26BM_r54des2PAw%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
CCTV-17,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EEkwQnoHNXRDb-IayWakK1A%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND

CCTV-1,http://220.173.254.6:6666/udp/239.81.0.102:4056$广西电信163
CCTV-2,http://220.173.254.6:6666/udp/239.81.0.115:4056$广西电信163
CCTV-3,http://220.173.254.6:6666/udp/239.81.0.231:4056$广西电信163
CCTV-4,http://220.173.254.6:6666/udp/239.81.0.96:4056$广西电信163
CCTV-5,http://220.173.254.6:6666/udp/239.81.0.232:4056$广西电信163
CCTV-5+,http://220.173.254.6:6666/udp/239.81.0.101:4056$广西电信163
CCTV-6,http://220.173.254.6:6666/udp/239.81.0.233:4056$广西电信163
CCTV-7,http://220.173.254.6:6666/udp/239.81.0.116:4056$广西电信163
CCTV-8,http://220.173.254.6:6666/udp/239.81.0.234:4056$广西电信163
CCTV-9,http://220.173.254.6:6666/udp/239.81.0.117:4056$广西电信163
CCTV-10,http://220.173.254.6:6666/udp/239.81.0.118:4056$广西电信163
CCTV-11,http://220.173.254.6:6666/udp/239.81.0.229:4056$广西电信163
CCTV-12,http://220.173.254.6:6666/udp/239.81.0.119:4056$广西电信163
CCTV-13,http://220.173.254.6:6666/udp/239.81.0.206:4056$广西电信163
CCTV-14,http://220.173.254.6:6666/udp/239.81.0.120:4056$广西电信163
CCTV-15,http://220.173.254.6:6666/udp/239.81.0.230:4056$广西电信163
CCTV-17,http://220.173.254.6:6666/udp/239.81.0.227:4056$广西电信163

卫视频道,#genre#

安徽卫视,http://221.2.148.205:8154/tsfile/live/0130_1.m3u8
北京卫视,http://221.2.148.205:8154/tsfile/live/0122_1.m3u8
东方卫视,http://221.2.148.205:8154/tsfile/live/0107_1.m3u8
东南卫视,http://221.2.148.205:8154/tsfile/live/0137_1.m3u8
甘肃卫视,http://221.2.148.205:8154/tsfile/live/0141_1.m3u8
广东卫视,http://221.2.148.205:8154/tsfile/live/0125_1.m3u8
广西卫视,http://221.2.148.205:8154/tsfile/live/0113_1.m3u8
贵州卫视,http://221.2.148.205:8154/tsfile/live/0120_1.m3u8
海南卫视,http://221.2.148.205:8154/tsfile/live/1000_1.m3u8
河北卫视,http://221.2.148.205:8154/tsfile/live/0117_1.m3u8
河南卫视,http://221.2.148.205:8154/tsfile/live/0139_1.m3u8
黑龙江卫视,http://221.2.148.205:8154/tsfile/live/0143_1.m3u8
湖北卫视,http://221.2.148.205:8154/tsfile/live/0132_1.m3u8
湖南卫视,http://221.2.148.205:8154/tsfile/live/0128_1.m3u8
吉林卫视,http://221.2.148.205:8154/tsfile/live/0116_1.m3u8
江苏卫视,http://221.2.148.205:8154/tsfile/live/0127_1.m3u8
江西卫视,http://221.2.148.205:8154/tsfile/live/0138_1.m3u8
辽宁卫视,http://221.2.148.205:8154/tsfile/live/0121_1.m3u8
内蒙古卫视,http://221.2.148.205:8154/tsfile/live/0109_1.m3u8
宁夏卫视,http://221.2.148.205:8154/tsfile/live/0112_1.m3u8
青海卫视,http://221.2.148.205:8154/tsfile/live/0140_1.m3u8
山东卫视,http://221.2.148.205:8154/tsfile/live/0131_1.m3u8
山西卫视,http://221.2.148.205:8154/tsfile/live/0118_1.m3u8
陕西卫视,http://221.2.148.205:8154/tsfile/live/0136_1.m3u8
深圳卫视,http://221.2.148.205:8154/tsfile/live/0126_1.m3u8
四川卫视,http://221.2.148.205:8154/tsfile/live/0123_1.m3u8
天津卫视,http://221.2.148.205:8154/tsfile/live/0135_1.m3u8
西藏卫视,http://221.2.148.205:8154/tsfile/live/0111_1.m3u8
新疆卫视,http://221.2.148.205:8154/tsfile/live/0110_1.m3u8
云南卫视,http://221.2.148.205:8154/tsfile/live/0119_1.m3u8
浙江卫视,http://221.2.148.205:8154/tsfile/live/0124_1.m3u8
重庆卫视,http://221.2.148.205:8154/tsfile/live/0142_1.m3u8

安徽卫视,http://221.232.105.149:35455/itv/1000000005000265025.m3u8?cdn=ystenlive
北京卫视,http://221.232.105.149:35455/itv/1000000005000265027.m3u8?cdn=ystenlive
东方卫视,http://221.232.105.149:35455/itv/1000000005000265018.m3u8?cdn=ystenlive
东南卫视,http://221.232.105.149:35455/itv/1000000005000265033.m3u8?cdn=ystenlive
广东卫视,http://221.232.105.149:35455/itv/1000000005000265034.m3u8?cdn=ystenlive
黑龙江卫视,http://221.232.105.149:35455/itv/1000000005000265029.m3u8?cdn=ystenlive
湖北卫视,http://221.232.105.149:35455/itv/1000000005000265023.m3u8?cdn=ystenlive
湖南卫视,http://221.232.105.149:35455/itv/1000000005000265024.m3u8?cdn=ystenlive
江苏卫视,http://221.232.105.149:35455/itv/1000000005000265030.m3u8?cdn=ystenlive
江西卫视,http://221.232.105.149:35455/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://221.232.105.149:35455/itv/1000000005000265022.m3u8?cdn=ystenlive
青海卫视,http://221.232.105.149:35455/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://221.232.105.149:35455/itv/1000000005000265019.m3u8?cdn=ystenlive
深圳卫视,http://221.232.105.149:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
